English,Arabic,Definition
Alternative routing,خط اتصال بديل,A service that allows the option of having an alternate route to complete a call when the marked destination is not available
American Standard Code for Information Interchange,المعايير القياسية الأمريكية لتبادل المعلومات,See ASCII
Amortization,اطفاء المصاريف الرأسمالية,The process of cost allocation that assigns the original cost of an intangible asset to the periods benefited; calculated in the same way as depreciation
Analog,تناظري,A transmission signal that varies continuously in amplitude and time and is generated in wave formation
Analytical technique,أساليب تحليلية,"The examination of ratios, trends, and changes in balances and other values between periods to obtain a broad understanding of the enterprise's financial or operational position and to identify areas that may require further or closer investigation"
Anomaly,شاذ/ غير طبيعي/خارج عن المألوف,Unusual or statistically rare
Anomaly detection,اكتشاف حالة غير طبيعية,Detection on the basis of whether the system activity matches that defined as abnormal
Anonymity,مجهول,The quality or state of not being named or identified
Antivirus software,برنامج مكافحة الفيروسات,An application software deployed at multiple points in an IT architecture. It is designed to detect and potentially eliminate virus code before damage is done and repair or quarantine files that have already been infected
Appearance,المظهر الخارجي,The act of giving the idea or impression of being or doing something
Appearance of independence,تحقق الاستقلالية,"Behavior adequate to meet the situations occurring during audit work (interviews, meetings, reporting, etc.)"
Applet,آبلت (برنامج حاسوبي يعمل في بيئة المتصفح),"A program written in a portable, platform-independent computer language, such as Java, JavaScript or Visual Basic"
Application,تطبيقات الأعمال,A computer program or set of programs that performs the processing of records for a specific function
Application acquisition review,تقييم عمليات شراء التطبيقات,"An evaluation of an application system being acquired or evaluated, that considers such matters as: appropriate controls are designed into the system; the application will process information in a complete, accurate and reliable manner; the application will function as intended; the application will function in compliance with any applicable statutory provisions; the system is acquired in compliance with the established system acquisition process"
Application architecture,معمارية التطبيقات,Description of the logical grouping of capabilities that manage the objects necessary to process information and support the enterprise's objectives.
Application benchmarking,معايرة تطبيقات الأعمال,The process of establishing the effective design and operation of automated controls within an application
Application controls,ضوابط تطبيقات الأعمال,"The policies, procedures and activities designed to provide reasonable assurance that objectives relevant to a given automated solution (application) are achieved"
Application development review,مراجعة تطوير تطبيقات الأعمال,"An evaluation of an application system under development that considers matters such as: appropriate controls are designed into the system; the application will process information in a complete, accurate and reliable manner; the application will function as intended; the application will function in compliance with any applicable statutory provisions; the system is developed in compliance with the established system development life cycle process"
Application implementation review,مراجعة تطبيق النظم,An evaluation of any part of an implementation project
Application layer,مستوى التطبيقات,"In the Open Systems Interconnection (OSI) communications model, the application layer provides services for an application program to ensure that effective communication with another application program in a network is possible."
Application maintenance review,مراجعة صيانة التطبيقات,An evaluation of any part of a project to perform maintenance on an application system
Application or managed service provider (ASP/MSP),مزود خدمة التطبيقات والنظم,"A third party that delivers and manages applications and computer services, including security services to multiple users via the Internet or a private network"
Application program,برنامج تطبيقي,"A program that processes business data through activities such as data entry, update or query"
Application programming,برمجة التطبيقات,The act or function of developing and maintaining application programs in production
Application programming interface (API),واجهة برمجة التطبيقات,"A set of routines, protocols and tools referred to as ""building blocks"" used in business application software development"
Application proxy,محول شبكات تطبيقات الأعمال,"A service that connects programs running on internal networks to services on exterior networks by creating two connections, one from the requesting client and another to the destination service"
Application security,أمن تطبيقات الأعمال,"Refers to the security aspects supported by the application, primarily with regard to the roles or responsibilities and audit trails within the applications"
Application service provider (ASP),مزود خدمة تطبيقات الأعمال,"Also known as managed service provider (MSP), it deploys, hosts and manages access to a packaged application to multiple parties from a centrally managed facility."
Application software tracing and mapping,تتبع وربط تطبيقات الأعمال,"Specialized tools that can be used to analyze the flow of data through the processing logic of the application software and document the logic, paths, control conditions and processing sequences"
Application system,نظم تطبيقات الأعمال,"An integrated set of computer programs designed to serve a particular function that has specific input, processing and output activities"
Architecture,معمارية / هيكلية,"Description of the fundamental underlying design of the components of the business system, or of one element of the business system (e.g., technology), the relationships among them, and the manner in which they support enterprise objectives"
Architecture board,لجنة معمارية المعلومات,"A group of stakeholders and experts who are accountable for guidance on enterprise-architecture-related matters and decisions, and for setting architectural policies and standards"
Arithmetic logic unit (ALU),وحدة المعالجة الحسابية,The area of the central processing unit (CPU) that performs mathematical and analytical operations
Artificial intelligence,الذكاء الاصطناعي,"Advanced computer systems that can simulate human capabilities, such as analysis, based on a predetermined set of rules"
ASCII,المعايير القياسية الأمريكية لتبادل المعلومات,"Representing 128 characters, the American Standard Code for Information Interchange (ASCII) code normally uses 7 bits. However, some variations of the ASCII code set allow 8 bits. This 8-bit ASCII code allows 256 characters to be represented."
Assembler,المجمع,A program that takes as input a program written in assembly language and translates it into machine code or machine language
Assembly Language,لغة التجميع,A low-level computer programming language which uses symbolic code and produces machine instructions
Assertion,"إقرار، تصريح،",Any formal declaration or set of declarations about the subject matter made by management
Assessment,تقييم,A broad review of the different aspects of a company or function that includes elements not covered by a structured assurance initiative
Asset,أصل,"Something of either tangible or intangible value that is worth protecting, including people, information, infrastructure, finances and reputation"
Assurance,تأكيد / تحقق,"Pursuant to an accountable relationship between two or more parties, an IT audit and assurance professional is engaged to issue a written communication expressing a conclusion about the subject matters for which the accountable party is responsible. Assurance refers to a number of related activities designed to provide the reader or user of the report with a level of assurance or comfort over the subject matter."
Assurance engagement,الشروع في التحقق,"An objective examination of evidence for the purpose of providing an assessment on risk management, control or governance processes for the enterprise."
Assurance initiative,مبادرة التحقق,"An objective examination of evidence for the purpose of providing an assessment on risk management, control or governance processes for the enterprise"
Asymmetric key (public key),مفتاح تشفيري لاتناظري,A cipher technique in which different cryptographic keys are used to encrypt and decrypt a message
Asynchronous Transfer Mode (ATM),التبادل الرقمي اللاتناظري,A high-bandwidth low-delay switching and multiplexing technology that allows integration of real-time voice and video as well as data. It is a data link layer protocol.
Asynchronous transmission,النقل الرقمي اللاتناظري,Character-at-a-time transmission
Attack,هجوم,An actual occurrence of an adverse event
Attack mechanism,آلية الهجوم,"A method used to deliver the exploit. Unless the attacker is personally performing the attack, an attack mechanism may involve a payload, or container, that delivers the exploit to the target."
Attack vector,مسار الهجوم,A path or route used by the adversary to gain access to the target (asset)
Attenuation,تضاؤل,Reduction of signal strength during transmission
Attest reporting engagement,مهمة عمل بهدف المصادقة,An engagement in which an IS auditor is engaged to either examine management's assertion regarding a particular subject matter or the subject matter directly
Attitude,نزعة سلوكية,"Way of thinking, behaving, feeling, etc."
Attribute sampling,عينة ذات صفة معينة,Method to select a portion of a population based on the presence or absence of a certain characteristic
Audit,فحص / مراجعة / تدقيق,"Formal inspection and verification to check whether a standard or set of guidelines is being followed, records are accurate, or efficiency and effectiveness targets are being met"
Audit accountability,مسؤولية المراجعة,"Performance measurement of service delivery including cost, timeliness and quality against agreed service levels"
Audit authority,سلطة المراجعة,"A statement of the position within the enterprise, including lines of reporting and the rights of access"
Audit charter,ميثاق المراجعة,"A document approved by those charged with governance that defines the purpose, authority and responsibility of the internal audit activity"
Audit evidence,دليل / اثبات (خاص بالتدقيق),The information used to support the audit opinion
Audit expert systems,نظام مراجعة ذكي,Expert or decision support systems that can be used to assist IS auditors in the decision-making process by automating the knowledge of experts in the field
Audit objective,أهداف المراجعة,The specific goal(s) of an audit
Audit plan,خطة المراجعة,"1. A plan containing the nature, timing and extent of audit procedures to be performed by engagement team members in order to obtain sufficient appropriate audit evidence to form an opinion. 2. A high-level description of the audit work to be performed in a certain period of time"
Audit program,برنامج المراجعة / التدقيق,A step-by-step set of audit procedures and instructions that should be performed to complete an audit
Audit responsibility,مسؤولية التدقيق,"The roles, scope and objectives documented in the service level agreement (SLA) between management and audit"
Audit risk,مخاطر التدقيق,The risk of reaching an incorrect conclusion based upon audit findings
Audit sampling,عينات التدقيق,The application of audit procedures to less than 100 percent of the items within a population to obtain audit evidence about a particular characteristic of the population
Audit subject matter risk,مخاطر التدقيق,"Risk relevant to the area under review: - Business risk (customer capability to pay, credit worthiness, market factors, etc.) - Contract risk (liability, price, type, penalties, etc.) - Country risk (political, environment, security, etc.) - Project risk (resources, skill set, methodology, product stability, etc.) - Technology risk (solution, architecture, hardware and software infrastructure network, delivery channels, etc.)"
Audit trail,جولة مراجعة,A visible trail of evidence enabling one to trace information contained in statements or reports back to the original input source
Audit universe,مجال المراجعة,An inventory of audit areas that is compiled and maintained to identify areas for audit during the audit planning process
Auditability,القابلية للتدقيق/المراجعة,The level to which transactions can be traced and audited through a system
Auditable unit,وحدة قابلة للتدقيق/المراجعة,"Subjects, units or systems that are capable of being defined and evaluated"
Auditor's opinion,رأي المدقق/المراجع,"A formal statement expressed by the IS audit or assurance professional that describes the scope of the audit, the procedures used to produce the report and whether or not the findings support that the audit criteria have been met."
Authentication,التحقق من الشخصية,"1. The act of verifying identity (i.e., user, system). 2. The act of verifying the identity of a user and the user's eligibility to access computerized information"
Authenticity,موثوقية,Undisputed authorship
Automated application controls,ضوابط آلية مبرمجة داخل التطبيقات,Controls that have been programmed and embedded within an application
Availability,التوفر/ إمكانية الوصول,Ensuring timely and reliable access to and use of information
Awareness,التوعية,"Being acquainted with, mindful of, conscious of and well informed on a specific subject, which implies knowing and understanding a subject and acting accordingly"
Back door,مدخل خلفي (للنظام),A means of regaining access to a compromised system by installing software or configuring existing software to enable remote access under attacker-defined conditions
Backbone,الهيكل العظمي,The main communication channel of a digital network. The part of a network that handles the major traffic
Backup,نسخة احتياطية,"Files, equipment, data and procedures available for use in the event of a failure or loss, if the originals are destroyed or out of service"
Backup center,مركز الحاسب الاحتياطي,An alternate facility to continue IT/IS operations when the primary data processing (DP) center is unavailable
Badge,بطاقة التعريف,"A card or other device that is presented or displayed to obtain access to an otherwise restricted facility, as a symbol of authority (e.g., the police), or as a simple means of identification"
Balanced scorecard (BSC),بطاقة الأداء المتوازن,"Developed by Robert S. Kaplan and David P. Norton as a coherent set of performance measures organized into four categories that includes traditional financial measures, but adds customer, internal business process, and learning and growth perspectives"
Bandwidth,عرض النطاق,The range between the highest and lowest transmittable frequencies. It equates to the transmission capacity of an electronic line and is expressed in bytes per second or Hertz (cycles per second).
Bar code,الباركود,A printed machine-readable code that consists of parallel bars of varied width and spacing
Base case,القضية الأساسية,A standardized body of data created for testing purposes
Baseband,البث الأساسي,A form of modulation in which data signals are pulsed directly on the transmission medium without frequency division and usually utilize a transceiver
Baseline architecture,المعمارية الأساسية,The existing description of the fundamental underlying design of the components of the business system before entering a cycle of architecture review and redesign
Bastion,محصّن,System heavily fortified against attacks
Batch control,ضوابط التبادل البيني,"Correctness checks built into data processing systems and applied to batches of input data, particularly in the data preparation stage"
Batch processing,معالجة الحزم المعلوماتية,The processing of a group of transactions at the same time
Baud rate,سرعة التراسل,"The rate of transmission for telecommunications data, expressed in bits per second (bps)"
Benchmark,فحص مرجعي,A test that has been designed to evaluate the performance of a system
Benchmarking,الفحص المرجعي,A systematic approach to comparing enterprise performance against peers and competitors in an effort to learn the best ways of conducting business
Benefit,فائدة,"In business, an outcome whose nature and value (expressed in various ways) are considered advantageous by an enterprise"
Benefits realization,ادراك الفوائد,"One of the objectives of governance. The bringing about of new benefits for the enterprise, the maintenance and extension of existing forms of benefits, and the elimination of those initiatives and assets that are not creating sufficient value"
Binary code,ترميز ثنائي,A code whose representation is limited to 0 and 1
Biometric locks,إقفال حيوية,"Door and entry locks that are activated by such biometric features as voice, eye retina, fingerprint or signature"
Biometrics,الأمنية الحيوية,"A security technique that verifies an individual's identity by analyzing a unique physical attribute, such as a handprint"
Bit-stream image,نسخة طبق الأصل,"Bit-stream backups, also referred to as mirror image backups, involve the backup of all areas of a computer hard disk drive or other type of storage media."
Black box testing,فحص وظيفي عام,A testing approach that focuses on the functionality of the application or product and does not require knowledge of the code intervals
Block cipher,التشفير حزماً,A public algorithm that operates on plaintext in blocks (strings or groups) of bits
Botnet,شبكة مخترقة,"A term derived from ""robot network;"" is a large automated and distributed network of previously compromised computers that can be simultaneously controlled to launch large-scale attacks such as a denial-of-service attack on selected victims"
Boundary,"حد، حدود",Logical and physical controls to define a perimeter between the organization and the outside world
Bridge,جسر شبكي,Data link layer device developed in the early 1980s to connect local area networks (LANs) or create two separate LAN or wide area network (WAN) network segments from a single segment to reduce collision domains
Bring your own device (BYOD),أحضر جهازك الخاص,An enterprise policy used to permit partial or full integration of user-owned mobile devices for business purposes
Broadband,النطاق العريض,Multiple channels are formed by dividing the transmission medium into discrete frequency segments.
Broadcast,أرسال,A method to distribute information to multiple recipients simultaneously
Browser,متصفح,"A computer program that enables the user to retrieve information that has been made publicly available on the Internet; also, that permits multimedia (graphics) applications on the World Wide Web"
Brute force,هجمة همجية,A class of algorithms that repeatedly try all possible combinations until a solution is found
Brute force attack,هجوم همجي,Repeatedly trying all possible combinations of passwords or encryption keys until the correct one is found
Budget,موازنة,Estimated cost and revenue amounts for a given range of periods and set of books
Budget formula,معادلات احتساب الموازنة,"A mathematical expression used to calculate budget amounts based on actual results, other budget amounts and statistics."
Budget hierarchy,هرمية الموازنة,A group of budgets linked together at different levels such that the budgeting authority of a lower-level budget is controlled by an upper-level budget
Budget organization,الوحدة المسئولة عن الموازنة,"An entity (department, cost center, division or other group) responsible for entering and maintaining budget data"
Buffer,ذاكرة مؤقتة,"Memory reserved to temporarily hold data to offset differences between the operating speeds of different devices, such as a printer and a computer"
Buffer overflow,امتلاء الذاكرة المؤقتة,Occurs when a program or process tries to store more data in a buffer (temporary data storage area) than it was intended to hold
Bulk data transfer,بيانات احتياطية مجملة,A data recovery strategy that includes a recovery from complete backups that are physically shipped offsite once a week
Bus,خط تبادل البيانات,Common path or channel between hardware devices
Bus configuration,توليف خط تبادل البيانات,All devices (nodes) are linked along one communication line where transmissions are received by all attached nodes.
Business balanced scorecard,بطاقة أداء مؤسسية متوازنة,"A tool for managing organizational strategy that uses weighted measures for the areas of financial performance (lag) indicators, internal operations, customer measurements, learning and growth (lead) indicators, combined to rate the enterprise"
Business case,دراسة مؤسسية,"Documentation of the rationale for making a business investment, used both to support a business decision on whether to proceed with the investment and as an operational tool to support management of the investment through its full economic life cycle"
Business continuity,استمرارية الأعمال,"Preventing, mitigating and recovering from disruption"
Business continuity plan (BCP),خطة استمرارية الأعمال,A plan used by an enterprise to respond to disruption of critical business processes. Depends on the contingency plan for restoration of critical systems
Business control,ضوابط مؤسسية,"The policies, procedures, practices and organizational structures designed to provide reasonable assurance that the business objectives will be achieved and undesired events will be prevented or detected"
Business dependency assessment,تقييم اعتمادية إجراء,A process of identifying resources critical to the operation of a business process
Business function,وظيفة مؤسسية,"An activity that an enterprise does, or needs to do, to achieve its objectives"
Business goal,غاية مؤسسية,The translation of the enterprise's mission from a statement of intention into performance targets and results
Business impact,أثر مؤسسي,"The net effect, positive or negative, on the achievement of business objectives"
Business impact analysis (BIA),تحليلات الاثار المؤسسية,A process to determine the impact of losing the support of any resource
Business impact analysis/assessment (BIA),تقييم تحليلات الاثار المؤسسية,"Evaluating the criticality and sensitivity of information assets. An exercise that determines the impact of losing the support of any resource to an enterprise, establishes the escalation of that loss over time, identifies the minimum resources needed to recover, and prioritizes the recovery of processes and the supporting system"
Business interruption,معوقات / توقفات مؤسسية,"Any event, whether anticipated (i.e., public service strike) or unanticipated (i.e., blackout) that disrupts the normal course of business operations at an enterprise"
Business Model for Information Security (BMIS),نموذج مؤسسي لأمن المعلومات,"A holistic and business-oriented model that supports enterprise governance and management information security, and provides a common language for information security professionals and business management"
Business objective,هدف مؤسسي,A further development of the business goals into tactical targets and desired results and outcomes
Business process,إجراء مؤسسي,An inter-related set of cross-functional activities or events that result in the delivery of a specific product or service to a customer
Business process control,ضوابط إجراء مؤسسي,"The policies, procedures, practices and organizational structures designed to provide reasonable assurance that a business process will achieve its objectives."
Business process integrity,انضباطية الإجراء المؤسسي,Controls over the business processes that are supported by the enterprise resource planning system (ERP)
Business process owner,مالك الإجراء المؤسسي,"The individual responsible for identifying process requirements, approving process design and managing process performance"
Business process reengineering (BPR),اعادة هندسة الإجراء,"The thorough analysis and significant redesign of business processes and management systems to establish a better performing structure, more responsive to the customer base and market conditions, while yielding material cost savings"
Business risk,خطر مؤسسي,A probable situation with uncertain frequency and magnitude of loss (or gain)
Business service provider (BSP),مزود خدمات مؤسسية,"An application service provider (ASP) that also provides outsourcing of business processes such as payment processing, sales order processing and application development"
Business sponsor,الراعي المؤسسي,The individual accountable for delivering the benefits and value of an IT-enabled business investment program to the enterprise
Business-to-business,أعمال - أعمال,"Transactions in which the acquirer is an enterprise or an individual operating in the ambits of his/her professional activity. In this case, laws and regulations related to consumer protection are not applicable."
Business-to-consumer,أعمال - مستهلك,"Selling processes in which the involved parties are the enterprise, which offers goods or services, and a consumer. In this case there is comprehensive legislation that protects the consumer."
Business-to-consumer e commerce (B2C),تجارة الكترونية أعمال - مستهلك,Refers to the processes by which enterprises conduct business electronically with their customers and/or public at large using the Internet as the enabling technology
Bypass label processing (BLP),تجاوز تنظيم الملف الداخلي,A technique of reading a computer file while bypassing the internal file/data set label. This process could result in bypassing of the security access control system.
Cadbury,لجنة حوكمة الجوانب المالية في الحوكمة المؤسسية - بريطانيا,"The Committee on the Financial Aspects of Corporate Governance, set up in May 1991 by the UK Financial Reporting Council, the London Stock Exchange and the UK accountancy profession, was chaired by Sir Adrian Cadbury and produced a report on the subject commonly known in the UK as the Cadbury Report."
Capability,قدرة / استطاعة,"An aptitude, competency or resource that an enterprise may possess or require at an enterprise, business function or individual level that has the potential, or is required, to contribute to a business outcome and to create value"
Capability Maturity Model (CMM),نموذج نضوج القدرة,"1. Contains the essential elements of effective processes for one or more disciplines. It also describes an evolutionary improvement path from ad hoc, immature processes to disciplined, mature processes with improved quality and effectiveness. 2. CMM for software, from the Software Engineering Institute (SEI), is a model used by many enterprises to identify best practices useful in helping them assess and increase the maturity of their software development processes"
Capacity stress testing,فحص قدرة التحمل,Testing an application with large quantities of data to evaluate its performance during peak periods. Also called volume testing
Capital expenditure/expense (CAPEX),مصاريف رأسمالية,An expenditure that is recorded as an asset because it is expected to benefit more than the current period. The asset is then depreciated or amortized over the expected useful life of the asset.
Card swipe,مسح البطاقة الأمنية,A physical control technique that uses a secured card or ID to gain access to a highly sensitive location.
Cathode ray tube (CRT),انبوب الاشعة الكاثوديه,"A vacuum tube that displays data by means of an electron beam striking the screen, which is coated with suitable phosphor material or a device similar to a television screen on which data can be displayed"
Central processing unit (CPU),وحدة المعالجة المركزية,Computer hardware that houses the electronic circuits that control/direct all operations of the computer system
Centralized data processing,المعالجة المركزية للبيانات,Identified by one central processor and databases that form a distributed processing configuration
Certificate (Certification) authority (CA),هيئة إدارة الشهادات الرقمية,A trusted third party that serves authentication infrastructures or enterprises and registers entities and issues them certificates
Certificate revocation list (CRL),قائمة الشهادات المرفوضة,An instrument for checking the continued validity of the certificates for which the certification authority (CA) has responsibility
Certification practice statement (CPS),ميثاق الشهادة الرقمية,A detailed set of rules governing the certificate authority's operations. It provides an understanding of the value and trustworthiness of certificates issued by a given certificate authority (CA).
Chain of custody,تسلسل العهدة,A legal principle regarding the validity and integrity of evidence. It requires accountability for anything that will be used as evidence in a legal proceeding to ensure that it can be accounted for from the time it was collected until the time it is presented in a court of law.
Challenge/response token,مطابقة الشيفرة,A method of user authentication that is carried out through use of the Challenge Handshake Authentication Protocol (CHAP)
Change management,إدارة التغيير,"A holistic and proactive approach to managing the transition from a current to a desired organizational state, focusing specifically on the critical human or ""soft"" elements of change"
Channel service unit/digital service unit (CSU/DSU),وحدة المعالجة الرقمية,"Interfaces at the physical layer of the open systems interconnection (OSI) reference model, data terminal equipment (DTE) to data circuit terminating equipment (DCE), for switched carrier networks"
Chargeback,اعادة توزيع المصاريف,The redistribution of expenditures to the units within a company that gave rise to them.
Check digit,خانة /منزلة التحقق,"A numeric value, which has been calculated mathematically, is added to data to ensure that original data have not been altered or that an incorrect, but valid match has occurred."
Check digit verification (self checking digit),مطابقة خانة التحقق,A programmed edit or routine that detects transposition and transcription errors by calculating and checking the check digit
Checklist,قائمة التحقق,A list of items that is used to verify the completeness of a task or goal
Checkpoint restart procedures,النقطة المرجعية لاعادة الإجراء,A point in a routine at which sufficient information can be stored to permit restarting the computation from that point
Checksum,قيمة مجموع الملف,"A mathematical value that is assigned to a file and used to ""test"" the file at a later date to verify that the data contained in the file has not been maliciously changed"
Chief executive officer (CEO),كبير المديرين التتفيذيين,The highest ranking individual in an enterprise
Chief financial officer (CFO),كبير المديرين الماليين,The individual primarily responsible for managing the financial risk of an enterprise
Chief information officer (CIO),كبير المديرين للمعلوماتية,"The most senior official of the enterprise who is accountable for IT advocacy, aligning IT and business strategies, and planning, resourcing and managing the delivery of IT services, information and the deployment of associated human resources"
Chief Information Security Officer (CISO),كبير المديرين لأمن المعلومات,The person in charge of information security within the enterprise
Chief Security Officer (CSO),رئيس ضباط الامن,The person usually responsible for all security matters both physical and digital in an enterprise
Chief technology officer (CTO),كبير المديرين للتقنية,The individual who focuses on technical issues in an enterprise
Cipher,"تشفير، تعمية (البيانات)",An algorithm to perform encryption
Ciphertext,نص مشفر,Information generated by an encryption algorithm to protect the plaintext and that is unintelligible to the unauthorized reader.
Circuit-switched network,الاتصال بتحويل الدارة,A data transmission service requiring the establishment of a circuit-switched connection before data can be transferred from source data terminal equipment (DTE) to a sink DTE
Circular routing,التمرير الشبكي,"In open systems architecture, circular routing is the logical path of a message in a communication network based on a series of gates at the physical network layer in the open systems interconnection (OSI) model."
Cleartext,نص اصلي (نص غير مشفر),Data that is not encrypted. Also known as plaintext.
Client-server,منظومة خادمات,"A group of computers connected by a communication network, in which the client is the requesting machine and the server is the supplying machine"
Cloud computing,الحوسبة السحابية,"Convenient, on-demand network access to a shared pool of resources that can be rapidly provisioned and released with minimal management effort or service provider interaction"
Cluster controller,متحكم عنقودي,A communication terminal control hardware unit that controls a number of computer terminals
Coaxial cable,سلك محوري,"Composed of an insulated wire that runs through the middle of each cable, a second wire that surrounds the insulation of the inner wire like a sheath, and the outer insulation which wraps the second wire"
COBIT,أهداف ضوابط تقنيات المعلومات,"1. COBIT 5: Formerly known as Control Objectives for Information and related Technology (COBIT); now used only as the acronym in its fifth iteration. A complete, internationally accepted framework for governing and managing enterprise information and technology (IT) that supports enterprise executives and management in their definition and achievement of business goals and related IT goals. COBIT describes five principles and seven enablers that support enterprises in the development, implementation, and continuous improvement and monitoring of good IT-related governance and management practices. 2. COBIT 4.1 and earlier: Formally known as Control Objectives for Information and related Technology (COBIT). A complete, internationally accepted process framework for IT that supports business and IT executives and management in their definition and achievement of business goals and related IT goals by providing a comprehensive IT governance, management, control and assurance model. COBIT describes IT processes and associated control objectives, management guidelines"
CoCo,الضوابط المعيارية,"Criteria of Control, published by the Canadian Institute of Chartered Accountants in 1995"
Code of ethics,الميثاق الاخلاقي,"A document designed to influence individual and organizational behavior of employees, by defining organizational values and the rules to be applied in certain situations."
Coevolving,النشوء المشترك,"Originated as a biological term, refers to the way two or more ecologically interdependent species become intertwined over time"
Coherence,تماسك,"Establishing a potent binding force and sense of direction and purpose for the enterprise, relating different parts of the enterprise to each other and to the whole to act as a seemingly unique entity"
Cohesion,تلاصق/التحام,"The extent to which a system unit--subroutine, program, module, component, subsystem--performs a single dedicated function."
Cold site,موقع احتياطي بارد,"An IS backup facility that has the necessary electrical and physical components of a computer facility, but does not have the computer equipment in place"
Collision,تصادم,The situation that occurs when two or more demands are made simultaneously on equipment that can handle only one at any given instant (Federal Standard 1037C)
Combined Code on Corporate Governance,الميثاق المشترك للحوكمة المؤسسية,"The consolidation in 1998 of the ""Cadbury,"" ""Greenbury"" and ""Hampel"" Reports"
Common Attack Pattern Enumeration and Classification (CAPEC),حصر وتصنيف أنماط الهجمات الشائعة,"A catalogue of attack patterns as ""an abstraction mechanism for helping describe how an attack against vulnerable systems or networks is executed"" published by the MITRE Corporation"
Communication processor,معالج الاتصال,A computer embedded in a communications system that generally performs the basic tasks of classifying network traffic and enforcing network policy functions
Communications controller,ضابط (الاتصالات) خادم,"Small computers used to connect and coordinate communication links between distributed or remote devices and the main computer, thus freeing the main computer from this overhead function"
Community strings,الشيفرة,Authenticate access to management information base (MIB) objects and function as embedded passwords
Comparison program,برنامج لفحص ومقارنة البيانات,"A program for the examination of data, using logical or conditional tests to determine or to identify similarities or differences"
Compartmentalization,التقسيم الى أجزاء أو مراحل,"A process for protecting very-high value assets or in environments where trust is an issue. Access to an asset requires two or more processes, controls or individuals."
Compensating control,ضوابط تعويضية,An internal control that reduces the risk of an existing or potential control weakness resulting in errors and omissions
Competence,قدرة/استطاعة,"The ability to perform a specific task, action or function successfully"
